No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
42,PANW,"Palo Alto Networks, Inc.",91169934750,282.31,1.66%,7527400000
43,KLAC,KLA Corporation,85934107215,636.01,1.25%,9671427000
44,GILD,"Gilead Sciences, Inc.",83776058389,67.19,0.64%,27116000000
45,SNPS,"Synopsys, Inc.",78749695920,516.27,1.09%,6130509000
46,CME,CME Group Inc.,77830204500,216.12,1.45%,5578900000
47,CDNS,"Cadence Design Systems, Inc.",77809866435,285.40,1.84%,4089986000
48,EQIX,"Equinix, Inc.",71335546567,753.90,0.79%,8188136000
49,CRWD,"CrowdStrike Holdings, Inc.",70151534229,290.07,2.63%,3055555000
50,MELI,"MercadoLibre, Inc.",69449861286,1369.27,0.95%,14473000000
51,MAR,"Marriott International, Inc.",69068226150,238.54,1.08%,23713000000
52,CSX,CSX Corporation,67836071000,34.71,1.06%,14632000000
53,CTAS,Cintas Corporation,67611899310,666.31,0.76%,9410151000
54,PYPL,"PayPal Holdings, Inc.",66584743200,63.28,1.55%,29771000000
55,WDAY,"Workday, Inc.",66396039747,253.58,0.54%,7259000000
56,ORLY,"O'Reilly Automotive, Inc.",64570690884,1094.09,0.29%,15812250000
57,NTES,"NetEase, Inc.",59719883364,95.22,1.83%,14593534415
58,PCAR,PACCAR Inc,59333765417,113.24,1.84%,35127400000
59,CEG,Constellation Energy Corporation,57695492905,183.15,1.24%,24918000000
60,ROP,"Roper Technologies, Inc.",57677901570,538.80,0.83%,6177800000
61,NXPI,NXP Semiconductors N.V.,56210291550,219.55,2.06%,13276000000
62,MNST,Monster Beverage Corporation,55726272000,53.56,0.79%,7140027000
63,MRVL,"Marvell Technology, Inc.",54731200000,63.24,1.79%,5507700000
64,COIN,"Coinbase Global, Inc.",54587019905,225.25,6.75%,3108383000
65,CPRT,"Copart, Inc.",51346878110,53.39,0.96%,4059987000
66,DXCM,"DexCom, Inc.",50887980000,132.00,0.99%,3622300000
67,TEAM,Atlassian Corporation,50726116388,195.70,2.17%,3892436000
68,FTNT,"Fortinet, Inc.",48847337043,64.01,0.96%,5304800000
69,IBKR,"Interactive Brokers Group, Inc.",47680539728,113.22,1.50%,4340000000
70,ADSK,"Autodesk, Inc.",46445224800,217.12,0.29%,5346000000
71,KHC,The Kraft Heinz Company,46243372000,38.12,0.90%,26640000000
72,ODFL,"Old Dominion Freight Line, Inc.",46082674170,211.79,-0.01%,5866152000
73,MCHP,Microchip Technology Incorporated,45516881240,84.28,3.18%,8541300000
74,ROST,"Ross Stores, Inc.",44942873745,134.07,0.55%,20376941000
75,AEP,"American Electric Power Company, Inc.",44652059015,84.87,0.80%,18982300000
76,LULU,Lululemon Athletica Inc.,43900720880,363.14,3.03%,9619278000
77,KDP,Keurig Dr Pepper Inc.,43896409650,31.64,0.44%,14814000000
78,PAYX,"Paychex, Inc.",43782299690,121.63,1.77%,5212800000
79,KSPI,Kaspi.kz JSC,43736307685,115.12,-0.52%,4289563990
80,SMCI,"Super Micro Computer, Inc.",42108276672,719.65,0.84%,9252753000
81,DDOG,"Datadog, Inc.",40435538882,121.87,1.48%,2128359000
82,MRNA,"Moderna, Inc.",40083707200,104.59,3.14%,6848000000
83,IDXX,"IDEXX Laboratories, Inc.",39968078635,481.14,1.01%,3660953000
84,FAST,Fastenal Company,38709902670,67.61,0.07%,7382700000
85,GEHC,GE HealthCare Technologies Inc.,38555097511,84.69,0.24%,19552000000
86,CHTR,"Charter Communications, Inc.",38237744380,264.95,-0.10%,54607000000
87,TTD,"The Trade Desk, Inc.",38232425822,78.25,1.23%,1946120000
88,EXC,Exelon Corporation,37789983000,37.82,0.71%,21727000000
89,JD,"JD.com, Inc.",36572707694,26.87,5.33%,152984767278
90,FANG,"Diamondback Energy, Inc.",36201236600,203.04,1.15%,8412000000
91,ACGL,Arch Capital Group Ltd.,35379924950,94.27,1.44%,13634000000
92,BIDU,"Baidu, Inc.",35218242903,97.75,2.84%,18984203103
93,NDAQ,"Nasdaq, Inc.",35173117310,61.09,1.23%,6064000000
94,CSGP,"CoStar Group, Inc.",34894464960,85.42,1.38%,2455000000
95,EA,Electronic Arts Inc.,34041675500,127.35,0.06%,7657000000
96,CTSH,Cognizant Technology Solutions Corporation,34008411600,68.37,1.38%,19353000000
97,BKR,Baker Hughes Company,32668723200,32.64,0.12%,25506000000
98,TCOM,Trip.com Group Limited,32628497432,49.41,2.93%,6277856135
99,VRSK,"Verisk Analytics, Inc.",32155207500,224.52,0.90%,2681400000
100,CDW,CDW Corporation,32024370075,238.62,1.20%,21376000000
101,CCEP,Coca-Cola Europacific Partners PLC,31706258600,69.11,2.26%,20335555556
102,XEL,Xcel Energy Inc.,30589732900,55.07,0.64%,14206000000
103,MPWR,"Monolithic Power Systems, Inc.",29263995485,601.50,1.69%,1821072000
104,FWONA,Formula One Group - Series A,28948659975,60.97,0.73%,12525000000
105,ANSS,"ANSYS, Inc.",28367262000,324.98,0.89%,2269949000
106,BIIB,Biogen Inc.,28188405120,193.92,-0.24%,9835600000
107,TSCO,Tractor Supply Company,27446530610,254.22,0.57%,14555741000
108,FWONK,Formula One Group - Series C,27271205882,68.62,0.76%,
109,WTW,Willis Towers Watson PLC,27210242715,265.51,0.37%,9483000000
110,DLTR,"Dollar Tree, Inc.",26501283225,121.60,-0.35%,30603800000
111,EBAY,eBay Inc.,26405050000,50.98,1.17%,10112000000
112,ON,ON Semiconductor Corporation,26013652875,60.96,0.41%,8253000000
113,ZS,"Zscaler, Inc.",25684162620,171.50,1.35%,1895508000
114,LI,Li Auto Inc.,25507447020,24.98,-5.33%,17468453032
115,GFS,GLOBALFOUNDRIES Inc.,25489778925,46.55,0.63%,7392000000
116,RYAAY,Ryanair Holdings plc,25249698870,141.36,1.79%,11712173913
117,FITB,Fifth Third Bancorp,25017930000,36.63,1.05%,8193000000
118,TROW,"T. Rowe Price Group, Inc.",24956433960,111.63,2.67%,6460500000
119,MDB,"MongoDB, Inc.",24755319216,340.37,3.94%,1683011000
120,ICLR,ICON PLC,24639636468,298.78,3.66%,8120176000
121,MBLY,Mobileye Global Inc.,24537652476,30.44,0.69%,2079000000
122,TW,Tradeweb Markets Inc.,23994747745,101.77,0.71%,1338219000
123,TTWO,"Take-Two Interactive Software, Inc.",23937480450,140.27,-0.23%,5396400000
124,VOD,Vodafone Group PLC,23382716500,8.64,3.54%,47567021277
125,APP,AppLovin Corporation,23307287429,68.10,1.95%,3283087000
126,FCNCA,"First Citizens BancShares, Inc.",23289461178,1621.11,3.43%,17412000000
127,ALGN,"Align Technology, Inc.",22762201941,302.26,1.10%,3862260000
128,FCNCO,"First Citizens BancShares, Inc.",22546682787,21.78,-0.41%,17412000000
129,MSTR,MicroStrategy Incorporated,22429196823,1321.85,12.58%,496261000
130,AXON,"Axon Enterprise, Inc.",22336382167,295.71,0.72%,1563391000
131,WDC,Western Digital Corporation,22071585550,67.72,2.52%,11257000000
132,ARGX,argenx SE,21959197139,369.26,2.51%,39481111
133,STLD,"Steel Dynamics, Inc.",21853857900,138.14,0.91%,18795316000
134,PTC,PTC Inc.,21299384320,178.25,1.07%,2181357000
135,SBAC,SBA Communications Corporation,21247742860,196.51,0.23%,2711584000
136,BNTX,BioNTech SE,20976918856,88.16,1.56%,4243333333
137,WBD,"Warner Bros. Discovery, Inc.",20700769650,8.49,1.01%,41321000000
138,NTAP,"NetApp, Inc.",20287890985,98.33,0.39%,6181000000
139,ULTA,"Ulta Beauty, Inc.",20117911473,416.90,0.82%,11207303000
140,LPLA,LPL Financial Holdings Inc.,19860337750,266.79,1.60%,10052848000
141,HBAN,Huntington Bancshares Incorporated,19602481650,13.47,1.43%,6958000000
142,DKNG,DraftKings Inc.,19459909112,41.09,1.00%,3665393000
143,PFG,"Principal Financial Group, Inc.",19167076500,81.52,1.34%,13665800000
144,ILMN,"Illumina, Inc.",19115670000,120.29,2.44%,4504000000
145,CINF,Cincinnati Financial Corporation,19054949290,121.60,1.38%,10013000000
146,GMAB,Genmab A/S,19012163764,29.07,1.29%,2440592593
147,FSLR,"First Solar, Inc.",19009422990,177.53,1.42%,3318602000
148,ENTG,"Entegris, Inc.",18813864210,124.79,2.12%,3523926000
149,VRSN,"VeriSign, Inc.",18673563000,185.14,0.55%,1493100000
150,ALNY,"Alnylam Pharmaceuticals, Inc.",18589076260,146.87,1.70%,1828292000
151,ZM,"Zoom Video Communications, Inc.",18395229451,59.84,0.66%,4527224000
152,CHKP,Check Point Software Technologies Ltd.,18025442900,159.59,1.04%,2414700000
153,COO,"The Cooper Companies, Inc.",17958598380,90.33,-0.10%,3666300000
154,HOLX,"Hologic, Inc.",17917093560,76.33,1.25%,3969300000
155,STX,Seagate Technology Holdings plc,17834623875,85.22,3.35%,6471000000
156,ERIE,Erie Indemnity Company,17788355430,385.42,1.01%,3268940000
157,UAL,"United Airlines Holdings, Inc.",17748785940,53.99,5.08%,54827000000
158,ERIC,Telefonaktiebolaget LM Ericsson (publ),17644346972,5.28,3.43%,26126091270
159,JBHT,"J.B. Hunt Transport Services, Inc.",17333414730,167.85,0.33%,12829665000
160,WMG,Warner Music Group Corp.,17110787018,33.04,0.21%,6297000000
161,EXPE,"Expedia Group, Inc.",17102754219,130.81,1.40%,12839000000
162,NTRS,Northern Trust Corporation,17037626690,83.53,2.55%,6749000000
163,BMRN,BioMarin Pharmaceutical Inc.,16969680500,89.44,0.91%,2419226000
164,TPG,TPG Inc.,16507513265,43.16,1.60%,2389911000
165,CG,The Carlyle Group Inc.,16418248760,45.36,2.90%,2963900000
166,CELH,"Celsius Holdings, Inc.",16081340440,69.05,0.31%,1318014000
167,SWKS,"Skyworks Solutions, Inc.",15768436320,98.35,2.33%,4644600000
168,WBA,"Walgreens Boots Alliance, Inc.",15731571555,18.24,-0.03%,144596000000
169,BSY,"Bentley Systems, Incorporated",15721130651,52.87,0.78%,1228413000
170,AKAM,"Akamai Technologies, Inc.",15329532450,101.16,-0.33%,3811920000
171,SSNC,"SS&C Technologies Holdings, Inc.",15183114240,61.43,1.00%,5502800000
172,HOOD,"Robinhood Markets, Inc.",15059705694,17.23,3.58%,1865000000
173,TER,"Teradyne, Inc.",15037344200,98.32,2.45%,2676298000
174,NDSN,Nordson Corporation,15004373670,262.31,1.05%,2651348000
175,OKTA,"Okta, Inc.",14997129020,93.64,1.75%,2263000000
176,ENPH,"Enphase Energy, Inc.",14951817465,110.29,3.57%,2290786000
177,NTNX,"Nutanix, Inc.",14667069870,60.03,2.17%,2019078000
178,SKYE,"Skye Bioscience, Inc.",14476095238,14.90,-7.68%,
179,TRMB,Trimble Inc.,14449787360,59.18,2.09%,3798700000
180,FOX,Fox Corporation,14415568522,29.07,0.69%,14557000000
181,BGNE,"BeiGene, Ltd.",14398708642,132.43,2.25%,2458779000
182,FOXA,Fox Corporation,14371972830,31.52,0.41%,14557000000
183,NICE,NICE Ltd.,14138991723,225.36,0.52%,2377508000
184,POOL,Pool Corporation,14111312502,367.71,1.82%,5541595000
185,ZBRA,Zebra Technologies Corporation,14087752252,273.94,2.19%,4584000000
186,MANH,"Manhattan Associates, Inc.",14066645376,228.80,1.09%,928725000
187,SAIA,"Saia, Inc.",14035938140,528.29,2.08%,2881433000
188,NWSA,News Corporation,14026147450,24.47,1.85%,9965000000
189,NWS,News Corporation,14015458400,25.23,1.80%,9965000000
190,LECO,"Lincoln Electric Holdings, Inc.",13533797575,238.14,-0.09%,4191636000
191,VTRS,Viatris Inc.,13377976050,11.26,0.04%,15426900000
192,HST,"Host Hotels & Resorts, Inc.",13344191230,18.97,1.36%,5311000000
193,NBIX,"Neurocrine Biosciences, Inc.",13234497500,132.97,0.73%,1887100000
194,LKQ,LKQ Corporation,13134716360,49.24,0.24%,13866000000
195,GEN,Gen Digital Inc.,13085315950,20.54,0.20%,3792000000
196,MORN,"Morningstar, Inc.",12969076905,303.35,1.81%,2038600000
197,LNT,Alliant Energy Corporation,12829155120,50.05,0.46%,4027000000
198,GRAB,Grab Holdings Limited,12805274500,3.35,-0.74%,2359000000
199,AZPN,"Aspen Technology, Inc.",12601413262,198.38,-0.05%,1056992000
200,PAA,"Plains All American Pipeline, L.P.",12549170900,17.90,-0.22%,48712000000
201,ARCC,Ares Capital Corporation,12536012820,20.65,0.29%,2614000000
202,RPRX,Royalty Pharma plc,12433671820,27.85,-1.12%,2354554000
203,SWAV,"ShockWave Medical, Inc.",12303105918,329.15,0.04%,730230000
204,LOGI,Logitech International S.A.,12139521680,78.32,1.31%,4247057000
205,SIRI,Sirius XM Holdings Inc.,12116443500,3.16,2.10%,8953000000
206,APA,APA Corporation,12068695520,32.55,0.57%,8192000000
207,JKHY,"Jack Henry & Associates, Inc.",12063976412,165.63,0.02%,2160254000
208,HTHT,H World Group Limited,12024155808,37.72,2.25%,3086318759
209,EVRG,"Evergy, Inc.",12019473600,52.33,1.10%,5508200000
210,INCY,Incyte Corporation,11725870350,52.24,-0.21%,3695649000
211,CASY,"Casey's General Stores, Inc.",11666340752,315.18,1.54%,14591599000
212,FLEX,Flex Ltd.,11659897655,27.69,2.29%,29387000000
213,CHK,Chesapeake Energy Corporation,11651218511,89.08,1.79%,8721000000
214,MEDP,"Medpace Holdings, Inc.",11625169842,377.88,1.58%,1885842000
215,XP,XP Inc.,11608403341,21.18,0.76%,3051354415
216,LAMR,Lamar Advertising Company,11606902877,114.20,2.48%,2110987000
217,PODD,Insulet Corporation,11546010025,165.01,-0.75%,1697100000
218,GLPI,"Gaming and Leisure Properties, Inc.",11545771840,43.24,1.03%,1440392000
219,DOCU,"DocuSign, Inc.",11461479131,55.84,0.25%,2761882000
220,EXAS,Exact Sciences Corporation,11363840600,62.67,2.80%,2499766000
221,UTHR,United Therapeutics Corporation,11180393723,237.45,-0.20%,2327500000
222,SRPT,"Sarepta Therapeutics, Inc.",11030355885,117.38,1.52%,1243336000
223,WYNN,"Wynn Resorts, Limited",10959031930,97.86,3.02%,6531897000
224,REG,Regency Centers Corporation,10936773060,59.20,1.41%,1322466000
225,BRKR,Bruker Corporation,10774132460,78.29,0.68%,2964500000
226,FFIV,"F5, Inc.",10615695224,180.61,1.85%,2805388000
227,NTRA,"Natera, Inc.",10579506080,88.82,4.15%,1082571000
228,WING,Wingstop Inc.,10475097195,357.15,2.81%,460055000
229,EWBC,"East West Bancorp, Inc.",10443437400,74.60,2.36%,2482518000
230,QRVO,"Qorvo, Inc.",10364481475,107.38,2.38%,3461221000
231,ALAB,"Astera Labs, Inc.",10244694568,67.33,4.40%,115794000
232,TXRH,"Texas Roadhouse, Inc.",10222694457,152.94,1.47%,4631672000
233,DOX,Amdocs Limited,10101888420,86.74,0.70%,4947029000
234,CYBR,CyberArk Software Ltd.,9969177442,235.65,0.83%,751888000
235,ZG,"Zillow Group, Inc.",9958323927,41.56,1.27%,1945000000
236,TECH,Bio-Techne Corporation,9940822080,63.24,1.80%,1144999000
237,Z,"Zillow Group, Inc.",9919552677,42.24,1.00%,1945000000
238,TTEK,"Tetra Tech, Inc.",9892353328,185.12,0.24%,4856052000
239,AFRM,"Affirm Holdings, Inc.",9810765904,31.99,3.16%,1914460000
240,OTEX,Open Text Corporation,9649436150,35.46,1.16%,5695801000
241,CART,Maplebear Inc.,9635265524,36.16,2.64%,3042000000
242,AAL,American Airlines Group Inc.,9546059741,14.56,3.15%,52788000000
243,HSIC,"Henry Schein, Inc.",9270422840,72.13,1.79%,12339000000
244,LSCC,Lattice Semiconductor Corporation,9169791800,66.73,0.33%,737154000
245,PCTY,Paylocity Holding Corporation,9041471357,160.38,2.01%,1292257000
246,ESLT,Elbit Systems Ltd.,9023812348,202.44,0.47%,5974744000
247,MNDY,monday.com Ltd.,8976067933,183.40,2.99%,729695000
248,WWD,"Woodward, Inc.",8971210830,148.77,0.87%,3082677000
249,CHDN,Churchill Downs Incorporated,8904282177,120.86,1.59%,2461700000
250,DUOL,"Duolingo, Inc.",8840995527,206.31,3.08%,531109000
251,SEIC,SEI Investments Company,8837942400,67.19,1.60%,1919793000
252,RGEN,Repligen Corporation,8830238263,158.35,0.77%,638764000
253,MTCH,"Match Group, Inc.",8617925860,32.16,-0.08%,3364504000
254,ROIV,Roivant Sciences Ltd.,8610464510,10.68,2.06%,123241000
255,LEGN,Legend Biotech Corporation,8558914150,47.05,1.86%,285143000
256,RIVN,"Rivian Automotive, Inc.",8547241113,8.82,2.14%,4434000000
257,PPC,Pilgrim's Pride Corporation,8543419280,36.10,0.92%,17362217000
258,CFLT,"Confluent, Inc.",8529850165,27.24,1.30%,776952000
259,WFRD,Weatherford International plc,8382518472,115.93,2.78%,5135000000
260,ROKU,"Roku, Inc.",8368763282,58.31,2.48%,3484619000
261,CHRW,"C.H. Robinson Worldwide, Inc.",8322639200,71.21,-0.01%,17596443000
262,CZR,"Caesars Entertainment, Inc.",8299431000,38.38,0.47%,11528000000
263,FIVE,"Five Below, Inc.",8150491356,147.56,-1.82%,3559369000
264,ASND,Ascendis Pharma A/S,8078306596,142.25,1.48%,296353333
265,LNW,"Light & Wonder, Inc.",8059484796,89.74,2.92%,2902000000
266,LSXMK,Liberty SiriusXM Group - Series C,8056944265,24.67,1.36%,
267,LSXMA,Liberty SiriusXM Group - Series A,8012765748,24.80,1.18%,
268,GTLB,GitLab Inc.,8003664000,52.48,1.92%,579906000
269,DBX,"Dropbox, Inc.",8002791459,23.27,1.24%,2501600000
270,GNTX,Gentex Corporation,7959852420,34.38,1.39%,2299215044
271,LSXMB,Liberty SiriusXM Group - Series B,7949176539,26.45,6.74%,
272,ETSY,"Etsy, Inc.",7943703680,67.03,0.40%,2748377000
273,APPF,"AppFolio, Inc.",7858953270,215.60,3.41%,620445000
274,RGLD,"Royal Gold, Inc.",7857077323,119.60,-2.55%,605717000
275,DSGX,The Descartes Systems Group Inc.,7827511815,91.90,1.75%,572931000
276,BZ,Kanzhun Limited,7815490117,18.33,2.72%,839496192
277,PARA,Paramount Global,7783648400,12.51,0.52%,29652000000
278,COKE,"Coca-Cola Consolidated, Inc.",7781379619,829.45,1.50%,6653858000
279,HAS,"Hasbro, Inc.",7773683910,56.02,1.36%,5003300000
280,FUTU,Futu Holdings Limited,7755046648,55.59,1.50%,1281487580
281,MKTX,MarketAxess Holdings Inc.,7711302874,204.57,0.27%,752547000
282,PARAA,Paramount Global,7699516769,22.61,-0.92%,29652000000
283,MIDD,The Middleby Corporation,7688335662,143.51,0.64%,4036605000
284,CROX,"Crocs, Inc.",7680889560,126.96,5.33%,3962347000
285,CERE,"Cerevel Therapeutics Holdings, Inc.",7663415080,42.21,,
286,SOFI,"SoFi Technologies, Inc.",7659446851,7.25,1.97%,2122789000
287,CHRD,Chord Energy Corporation,7637635256,183.76,2.09%,3896641000
288,MKSI,"MKS Instruments, Inc.",7400233944,110.32,1.99%,3622000000
289,IEP,Icahn Enterprises L.P.,7257093195,16.95,-0.29%,10847000000
290,OLED,Universal Display Corporation,7239595132,152.89,2.05%,576429000
291,ITCI,"Intra-Cellular Therapies, Inc.",7196647248,74.38,2.77%,464370000
292,AAON,"AAON, Inc.",7183750000,87.44,2.37%,1168518000
293,AMKR,"Amkor Technology, Inc.",7175418250,29.15,2.28%,6503065000
294,CBSH,"Commerce Bancshares, Inc.",7174730173,55.25,2.59%,1535723000
295,WSC,WillScot Mobile Mini Holdings Corp.,7168555685,37.74,-1.89%,2364767000
296,LBRDK,Liberty Broadband Corporation,7162511306,50.07,0.38%,981000000
297,LBRDA,Liberty Broadband Corporation,7161632162,50.35,0.50%,981000000
298,FTAI,FTAI Aviation Ltd,7144532420,71.21,3.90%,1170896000
299,MASI,Masimo Corporation,7128995436,134.79,0.01%,2048100000
300,VKTX,"Viking Therapeutics, Inc.",7026516682,64.47,1.66%,
301,CCCS,CCC Intelligent Solutions Holdings Inc.,7002541018,11.40,-0.39%,866378000
302,HQY,"HealthEquity, Inc.",7002109422,81.26,0.46%,999587000
303,VNOM,Viper Energy Partners LP,6985783639,39.50,1.18%,827697000
304,UFPI,"UFP Industries, Inc.",6981797753,113.46,1.49%,7218384000
305,CYTK,"Cytokinetics, Incorporated",6960578560,66.51,-1.54%,7530000
306,MTSI,"MACOM Technology Solutions Holdings, Inc.",6931413678,96.13,3.58%,625451000
307,ALTR,Altair Engineering Inc.,6905256319,82.58,0.32%,612701000
308,PCVX,"Vaxcyte, Inc.",6847466640,62.95,3.48%,
309,FSV,FirstService Corporation,6814516242,151.62,1.50%,4334548000
310,WIX,Wix.com Ltd.,6800473218,122.18,0.63%,1561665000
311,JAZZ,Jazz Pharmaceuticals plc,6798131512,109.02,-0.84%,3834204000
312,EXEL,"Exelixis, Inc.",6753868000,22.92,1.75%,1830208000
313,CGNX,Cognex Corporation,6752565300,39.31,2.21%,837547000
314,CHX,ChampionX Corporation,6749917380,35.51,-0.06%,3758285000
315,SFM,"Sprouts Farmers Market, Inc.",6682016240,66.01,1.32%,6837384000
316,PAAS,Pan American Silver Corp.,6662283244,18.26,-4.25%,2316100000
317,ENSG,"The Ensign Group, Inc.",6660203050,117.51,-0.64%,3729355000
318,LBTYB,Liberty Global plc,6648183084,16.33,-0.85%,7491400000
319,MMYT,MakeMyTrip Limited,6628051229,63.00,3.45%,728160000
320,LYFT,"Lyft, Inc.",6545445200,16.74,3.62%,4403589000
321,MAT,"Mattel, Inc.",6538342830,18.52,2.58%,5441219000
322,LBTYA,Liberty Global plc,6527198860,16.47,-1.76%,7491400000
323,ACHC,"Acadia Healthcare Company, Inc.",6504151323,70.48,0.46%,2928738000
324,LBTYK,Liberty Global plc,6500997896,17.00,-2.24%,7491400000
325,SAIC,Science Applications International Corporation,6479033538,125.51,0.45%,7444000000
326,CACC,Credit Acceptance Corporation,6477529500,523.38,-2.26%,1901900000
327,AGNC,AGNC Investment Corp.,6396823575,9.20,0.55%,251000000
328,NXT,Nextracker Inc.,6370381923,44.01,0.02%,2281721000
329,PNFP,"Pinnacle Financial Partners, Inc.",6345019800,82.36,3.60%,1601775000
330,XRAY,DENTSPLY SIRONA Inc.,6317313795,30.47,-0.11%,3965000000
331,SPSC,"SPS Commerce, Inc.",6307709223,170.21,2.85%,536910000
332,QLYS,"Qualys, Inc.",6243432219,168.84,3.23%,554458000
333,SIGI,"Selective Insurance Group, Inc.",6241254056,102.96,0.45%,4232106000
334,HLNE,Hamilton Lane Incorporated,6208297000,111.29,1.09%,489965000
335,BPOP,"Popular, Inc.",6182052240,85.51,2.78%,2573639000
336,ZION,"Zions Bancorporation,NA",6181026600,41.74,4.56%,2983000000
337,WTFC,Wintrust Financial Corporation,6148995294,99.57,2.32%,2157580000
338,LSTR,"Landstar System, Inc.",6124342549,171.48,0.39%,5303322000
339,BECN,"Beacon Roofing Supply, Inc.",6113547246,96.36,1.90%,9119800000
340,IONS,"Ionis Pharmaceuticals, Inc.",6028302720,41.41,1.79%,787647000
341,RMBS,Rambus Inc.,6002513590,55.31,1.15%,461117000
342,NSIT,"Insight Enterprises, Inc.",5991056466,183.79,0.66%,9175840000
343,RVMD,"Revolution Medicines, Inc.",5988128400,36.37,4.15%,11580000
344,ZI,ZoomInfo Technologies Inc.,5968915440,15.73,1.26%,1239500000
345,REYN,Reynolds Consumer Products Inc.,5941454025,28.28,0.32%,3756000000
346,FCFS,"FirstCash Holdings, Inc",5921314033,131.17,0.58%,3151796000
347,APLS,"Apellis Pharmaceuticals, Inc.",5810846580,48.19,1.39%,396591000
348,BOKF,BOK Financial Corporation,5794106789,89.71,2.12%,2016129000
349,NFE,New Fortress Energy Inc.,5783312131,28.21,0.53%,2413296000
350,LFUS,"Littelfuse, Inc.",5727503905,229.90,1.39%,2362657000
351,VFS,VinFast Auto Ltd.,5657633784,2.42,-4.17%,1335712071
352,BPMC,Blueprint Medicines Corporation,5640719476,92.50,6.51%,249380000
353,GGAL,Grupo Financiero Galicia S.A.,5581684290,31.00,8.92%,8725516100
354,FRSH,Freshworks Inc.,5545852781,18.13,3.07%,596432000
355,DRS,"Leonardo DRS, Inc.",5515658444,21.02,0.31%,2826000000
356,NOVT,Novanta Inc.,5514145526,154.11,3.15%,881662000
357,GLBE,Global-e Online Ltd.,5486467930,33.01,0.03%,569946000
358,LCID,"Lucid Group, Inc.",5485619250,2.38,-2.65%,595271000
359,NXST,"Nexstar Media Group, Inc.",5419428420,162.38,-1.74%,4933000000
360,GRFS,"Grifols, S.A.",5400449795,6.31,0.40%,7324418889
361,FYBR,"Frontier Communications Parent, Inc.",5398185240,21.96,1.20%,5736000000
362,CWST,"Casella Waste Systems, Inc.",5387189850,94.47,1.11%,1264542000
363,TENB,"Tenable Holdings, Inc.",5355560800,45.34,1.13%,798710000
